brand_name,price,original_price,description,sizes,product_url
Levis,1819,3499,Men Slim Fit Jeans,Sizes: 28,https://www.myntra.comjeans/levis/levis-men-slim-fit-light-fade-stretchable-jeans/31573946/buy
A-Okay,637,2275,Boys Slim Fit High-Rise Jeans,Sizes: 5-6Y,https://www.myntra.comjeans/a-okay/a-okay-boys-slim-fit-high-rise-clean-look-acid-wash-stretchable-jeans/27341022/buy
StyleCast,1280,3049,Straight Fit High-Rise Jeans,Sizes: 25,https://www.myntra.comjeans/stylecast/stylecast-women-straight-fit-high-rise-highly-distressed-light-fade-jeans/30698508/buy
Levis,1563,3399,Men 512 Slim Fit Jeans,Sizes: 42,https://www.myntra.comjeans/levis/levis-men-512-slim-fit-light-fade-stretchable-jeans/25756708/buy
WROGN,1376,2699,Men Slim Fit Jeans,Sizes: 32,https://www.myntra.comjeans/wrogn/wrogn-men-grey-slim-fit-mid-rise-clean-look-stretchable-jeans/11359096/buy
Urbano Fashion,887,2399,Men Relaxed Fit Cotton Jeans,Sizes: 36,https://www.myntra.comjeans/urbano+fashion/urbano-fashion-mens-loose-baggy-fit-non-stretchable-washed-jeans-/30026556/buy
Levis,1379,2999,Men 511 Slim Fit Jeans,Sizes: 36,https://www.myntra.comjeans/levis/levis-men-511-slim-fit-heavy-fade-stretchable-jeans/25756808/buy
Snitch,1799,N/A,Men Relaxed Fit Cotton Jeans,Sizes: 34,https://www.myntra.comjeans/snitch/snitch-men-olive-green-jean-relaxed-fit-low-distress-stretchable-cotton-jeans/29840311/buy
max,399,N/A,Boys Pure Cotton Jeans,Sizes: 6-12M,https://www.myntra.comjeans/max/max-boys-mid-rise-clean-look-pure-cotton-jeans/25651250/buy
Jack & Jones,3499,4999,Men Wide Leg High-Rise Jeans,Sizes: 30,https://www.myntra.comjeans/jack+%26+jones/jack--jones-men-wide-leg-high-rise-mildly-distressed-light-fade-stretchable-jeans/32680690/buy
Roadster,883,2599,Women Bootcut High-Rise Jeans,Sizes: 28,https://www.myntra.comjeans/roadster/roadster-women-blue-bootcut-high-rise-light-fade-stretchable-jeans/15773396/buy
Bene Kleed,804,2299,Men Bootcut Jeans,Sizes: 28,https://www.myntra.comjeans/bene+kleed/bene-kleed-men-mid-rise-bootcut-jeans/23934084/buy
Jack & Jones,8399,11999,Relaxed Fit Cotton Jeans,Sizes: 34/32,https://www.myntra.comjeans/jack+%26+jones/jack--jones-men-relaxed-fit-mid-rise-light-fade-cotton-jeans/32665169/buy
Allen Solly,1351,2599,Men Skinny Fit Jeans,Sizes: 34,https://www.myntra.comjeans/allen+solly/allen-solly-men-skinny-fit-light-fade-stretchable-jeans/33078905/buy
glitchez,637,2199,Men Loose Bootcut Jeans,Sizes: 36,https://www.myntra.comjeans/glitchez/glitchez-men-90s-revival-loose-bootcut-light-fade-jeans/31366087/buy
Pepe Jeans,2699,5999,Men Slim Fit Stretchable Jeans,Sizes: 30,https://www.myntra.comjeans/pepe+jeans/pepe-jeans-men-slim-fit-mildly-distressed-light-fade-whiskers-stretchable-jeans/27281702/buy
StyleCast x Revolte,1287,2799,Men Mid-Rise Regular Fit Jeans,Sizes: 40,https://www.myntra.comjeans/stylecast+x+revolte/stylecast-x-revolte-men-mid-rise-regular-fit-light-fade-stretchable-jeans/32434988/buy
glitchez,615,2199,Men Korean Baggy Jeans,Sizes: 30,https://www.myntra.comjeans/glitchez/glitchez-men-street-savvy-korean-baggy-jeans/31366099/buy
Levis,2235,4299,Men 511 Slim Fit Jeans,Sizes: 40,https://www.myntra.comjeans/levis/levis-men-511-slim-fit-heavy-fade-stretchable-jeans/30189238/buy
PARIS HAMILTON,624,2499,Women Boyfriend Fit Jeans,Sizes: 30,https://www.myntra.comjeans/paris+hamilton/paris-hamilton-women-black-boyfriend-fit-high-rise-clean-look-stretchable-jeans/12041056/buy
U.S. Polo Assn. Denim Co.,1499,2499,Men Slim Fit Mid-Rise Jeans,Sizes: 30,https://www.myntra.comjeans/u.s.+polo+assn.+denim+co./us-polo-assn-denim-co-men-slim-fit-light-fade-stretchable-jeans/32659784/buy
Jack & Jones,4199,5999,Men Wide Leg Low-Rise Jeans,Sizes: 30,https://www.myntra.comjeans/jack+%26+jones/jack--jones-men-low-rise-straight-fit-light-fade-stretchable-jeans/32680028/buy
glitchez,515,1199,Women Faded Straight Jeans,Sizes: 32,https://www.myntra.comjeans/glitchez/glitchez-women-dark-grunge-faded-straight-to-style-jeans/31520748/buy
glitchez,719,1999,Women Wide Leg  Jeans,Sizes: 30,https://www.myntra.comjeans/glitchez/glitchez-women-classic-cuts-wide-leg-slit-jeans/31362844/buy
Urbano Juniors,699,1399,Boys Jogger Jeans,Sizes: 7-8Y,https://www.myntra.comjeans/urbano+juniors/urbano-juniors-boys-blue-jogger-mid-rise-clean-look-jeans/14055364/buy
Roadster,829,2999,Mid Rise Cotton Bootcut Jeans,Sizes: 28,https://www.myntra.comjeans/roadster/the-roadster-lifestyle-co-mid-rise-pure-cotton-bootcut-jeans/33008886/buy
Pepe Jeans,3449,4599,Stretchable Skinny Fit Jeans,Sizes: 30,https://www.myntra.comjeans/pepe+jeans/pepe-jeans-men-heavy-fade-stretchable-skinny-fit-jeans/32598122/buy
The Indian Garage Co,619,1999,Men Slim Fit Jeans,Sizes: 30,https://www.myntra.comjeans/the+indian+garage+co/the-indian-garage-co-men-blue-slim-fit-light-fade-stretchable-jeans/17729322/buy
Roadster,665,1799,Men Skinny Fit Jeans,Sizes: 28,https://www.myntra.comjeans/roadster/roadster-men-navy-blue-skinny-fit-mid-rise-clean-look-stretchable-jeans/12358260/buy
AD By Arvind,1499,2499,Men Mid Rise Jeans,Sizes: 36,https://www.myntra.comjeans/ad+by+arvind/ad-by-arvind-men-relaxed-tapered-fit-mid-rise-jeans/32466339/buy
Bene Kleed,979,3499,Men Highly Distressed Jeans,Sizes: 36,https://www.myntra.comjeans/bene+kleed/bene-kleed-men-highly-distressed-heavy-fade-baggy-jeans/30141385/buy
THE BEAR HOUSE,1055,3299,Men Slim Fit Jeans,Sizes: 38,https://www.myntra.comjeans/the+bear+house/the-bear-house-men-slim-fit-stretchable-jeans/31749775/buy
Pepe Jeans,3999,N/A,Men Slim Fit Jeans,Sizes: 32,https://www.myntra.comjeans/pepe+jeans/pepe-jeans-men-vapour-slim-fit-light-fade-stretchable-jeans/33229461/buy
glitchez,591,1599,Men Boyfriend Fit Jeans,Sizes: 30,https://www.myntra.comjeans/glitchez/glitchez-men-urban-heavy-fade-ombre-boyfriend-fit-cargo-jeans/31422947/buy
glitchez,494,1499,Women Wide Leg Pleated Jeans,Sizes: 30,https://www.myntra.comjeans/glitchez/glitchez-women-urban-savvy-wide-leg-pleated-jeans/31939472/buy
Levis,2111,3299,Men Slim Tapered Fit Jeans,Sizes: 38,https://www.myntra.comjeans/levis/levis-men-slim-tapered-fit-light-fade-stretchable-jeans/31579386/buy
all about you,629,2999,Women Bootcut High-Rise Jeans,Sizes: 32,https://www.myntra.comjeans/all+about+you/all-about-you-women-slim-bootcut-high-rise-heavy-fade-stretchable-jeans/29705496/buy
Urbano Fashion,919,2299,Men Baggy Fit Panelled Jeans,Sizes: 28,https://www.myntra.comjeans/urbano+fashion/urbano-fashion-baggy-fit-cut-and-sew-panelled-jeans-/29760732/buy
Levis,1471,3199,Men 512 Slim Fit Jeans,Sizes: 32,https://www.myntra.comjeans/levis/levis-men-512-slim-fit-light-fade-stretchable-jeans/25756736/buy
Roadster,909,2599,Men Straight Fit Jeans,Sizes: 34,https://www.myntra.comjeans/roadster/the-roadster-life-co-men-straight-fit-jeans/31722596/buy
The Indian Garage Co,759,2449,Men Relaxed Fit Jeans,Sizes: 34,https://www.myntra.comjeans/the+indian+garage+co/the-indian-garage-co-men-mid-rise-loose-baggy-fit-stretchable-jeans/28088732/buy
Levis,1379,2999,Men 512 Slim Fit Jeans,Sizes: 40,https://www.myntra.comjeans/levis/levis-men-512-slim-fit-light-fade-stretchable-jeans/25756698/buy
Mast & Harbour,883,2599,Men Slim Tapered Fit Jeans,Sizes: 34,https://www.myntra.comjeans/mast+%26+harbour/mast--harbour-men-slim-tapered-fit-low-distress-light-fade-stretchable-jeans/24796182/buy
WROGN,1019,1999,Men Ankle Slim Fit Jeans,Sizes: 34,https://www.myntra.comjeans/wrogn/wrogn-men-ankle-slim-fit-stretchable--jeans/32642799/buy
Stylecast X Kotty,524,2499,Women Straight Fit Jeans,Sizes: 30,https://www.myntra.comjeans/stylecast+x+kotty/stylecast-x-kotty-women-jean-straight-fit-high-rise-stretchable-jeans/31359183/buy
Roadster,721,1899,Women Wide Leg High-Rise Jeans,Sizes: 30,https://www.myntra.comjeans/roadster/the-roadster-life-co-women-wide-leg-high-rise-light-fade-stretchable-jeans/26697732/buy
WROGN,1325,2599,Men Anti Fit Jeans,Sizes: 30,https://www.myntra.comjeans/wrogn/wrogn-men-anti-fit-heavy-fade-stretchable-jeans/31799815/buy
Pepe Jeans,845,1799,Boys Slim Fit Jeans,Sizes: 8-9Y,https://www.myntra.comjeans/pepe+jeans/pepe-jeans-boys-slim-fit-light-fade-stretchable-jeans/28157094/buy
Levis,1517,3299,Men Slim Fit Low Rise Jeans,Sizes: 32,https://www.myntra.comjeans/levis/levis-511-men-slim-fit-low-rise-heavy-fade-clean-look-stretchable-jeans/26312720/buy
Mast & Harbour,869,2999,Men Bootcut Jeans,Sizes: 34,https://www.myntra.comjeans/mast+%26+harbour/mast--harbour-blue-men-smart-bootcut-clean-look-light-fade-stretchable-jeans/29241092/buy
Levis,1819,3499,Men Slim Fit Jeans,Sizes: 28,https://www.myntra.comjeans/levis/levis-men-slim-fit-light-fade-stretchable-jeans/31573946/buy
The Indian Garage Co,755,2699,Men Pure Cotton Skater Jeans,Sizes: 34,https://www.myntra.comjeans/the+indian+garage+co/the-indian-garage-co-men-pure-cotton-skater-fit-jeans/32857772/buy
Roadster,816,1899,Men Straight Fit Jeans,Sizes: 36,https://www.myntra.comjeans/roadster/the-roadster-life-co-men-mid-rise-light-fade-stretchable-straight-fit-jeans/32026710/buy
Levis,1563,3399,Men 512 Slim Fit Jeans,Sizes: 42,https://www.myntra.comjeans/levis/levis-men-512-slim-fit-light-fade-stretchable-jeans/25756708/buy
max,799,999,Men Stretchable Jeans,Sizes: 32,https://www.myntra.comjeans/max/max-men-regular-fit-mid-rise-stretchable-jeans/25322270/buy
max,599,N/A,Boys Regular Fit Jeans,Sizes: 8-9Y,https://www.myntra.comjeans/max/max-boys-light-fade-regular-fit-jeans/32320231/buy
Levis,1379,2999,Men 511 Slim Fit Jeans,Sizes: 36,https://www.myntra.comjeans/levis/levis-men-511-slim-fit-heavy-fade-stretchable-jeans/25756808/buy
DressBerry Curve,719,2999,Women Plus Size Straight Jeans,Sizes: 36,https://www.myntra.comjeans/dressberry+curve/dressberry-curve-women-plus-size-straight-fit-jeans/30659809/buy
V-Mart,899,999,Men Regular Fit Jeans,Sizes: 36,https://www.myntra.comjeans/v-mart/v-mart-men-regular-fit-light-fade-cargo-styles-jeans/33155974/buy
Jack & Jones,3499,4999,Men Wide Leg High-Rise Jeans,Sizes: 30,https://www.myntra.comjeans/jack+%26+jones/jack--jones-men-wide-leg-high-rise-mildly-distressed-light-fade-stretchable-jeans/32680690/buy
Roadster,623,2599,Women Slim Fit High-Rise Jeans,Sizes: 36,https://www.myntra.comjeans/roadster/the-roadster-life-co-women-slim-flared-fit-high-rise-stretchable-jeans/31027937/buy
Roadster,747,2199,Men Slim Fit Jeans,Sizes: 32,https://www.myntra.comjeans/roadster/roadster-men-slim-fit-heavy-fade-stretchable-jeans/25816748/buy
Jack & Jones,8399,11999,Relaxed Fit Cotton Jeans,Sizes: 34/32,https://www.myntra.comjeans/jack+%26+jones/jack--jones-men-relaxed-fit-mid-rise-light-fade-cotton-jeans/32665169/buy
Stylecast X Kotty,474,2499,Women Flared High-Rise Jeans,Sizes: 26,https://www.myntra.comjeans/stylecast+x+kotty/stylecast-x-kotty-women-flared-high-rise-stretchable-jeans/31359205/buy
Roadster,824,2499,Men Skinny Fit Jeans,Sizes: 28,https://www.myntra.comjeans/roadster/roadster-men-black-skinny-fit-mid-rise-clean-look-stretchable-jeans/7139512/buy
Pepe Jeans,2699,5999,Men Slim Fit Stretchable Jeans,Sizes: 30,https://www.myntra.comjeans/pepe+jeans/pepe-jeans-men-slim-fit-mildly-distressed-light-fade-whiskers-stretchable-jeans/27281702/buy
MARVEL STREET,919,3999,Men Pure Cotton Relaxed Jeans,Sizes: 30,https://www.myntra.comjeans/marvel+street/marvel-street-men-pure-cotton-relaxed-fit-low-distress-printed-jeans/31370880/buy
ADBUCKS,799,1999,Straight Fit High-Rise Jeans,Sizes: 8-9Y,https://www.myntra.comjeans/adbucks/adbucks-girls-straight-fit-high-rise-stretchable-jeans/32434835/buy
Levis,2235,4299,Men 511 Slim Fit Jeans,Sizes: 40,https://www.myntra.comjeans/levis/levis-men-511-slim-fit-heavy-fade-stretchable-jeans/30189238/buy
Roadster,524,1499,Men Straight Fit Jeans,Sizes: 30,https://www.myntra.comjeans/roadster/the-roadster-life-co-men-straight-fit-light-fade-stretchable-jeans/24797124/buy
Sztori,890,2699,Men Plus Size Tapered Jeans,Sizes: 38,https://www.myntra.comjeans/sztori/sztori-men-plus-size-blue-slim-tapered-fit-light-fade-stretchable-jeans/18453806/buy
Jack & Jones,4199,5999,Men Wide Leg Low-Rise Jeans,Sizes: 30,https://www.myntra.comjeans/jack+%26+jones/jack--jones-men-low-rise-straight-fit-light-fade-stretchable-jeans/32680028/buy
glitchez,515,1199,Women Faded Straight Jeans,Sizes: 32,https://www.myntra.comjeans/glitchez/glitchez-women-dark-grunge-faded-straight-to-style-jeans/31520748/buy
glitchez,719,1999,Women Wide Leg  Jeans,Sizes: 30,https://www.myntra.comjeans/glitchez/glitchez-women-classic-cuts-wide-leg-slit-jeans/31362844/buy
glitchez,628,1699,Women Wide Leg Jeans,Sizes: 30,https://www.myntra.comjeans/glitchez/glitchez-women-stretchable-wide-leg-jeans/31520773/buy
Hardsoda by The Indian Garage Co,685,2449,Men Plus Size Slim Fit Jean,Sizes: 44,https://www.myntra.comjeans/hardsoda+by+the+indian+garage+co/hardsoda-by-the-indian-garage-co-plus-size-men-slim-fit-clean-look-stretchable-jean/25645924/buy
Pepe Jeans,3449,4599,Stretchable Skinny Fit Jeans,Sizes: 30,https://www.myntra.comjeans/pepe+jeans/pepe-jeans-men-heavy-fade-stretchable-skinny-fit-jeans/32598122/buy
Chemistry,809,2699,Women Straight Fit Jeans,Sizes: 28,https://www.myntra.comjeans/chemistry/chemistry-women-straight-fit-stretchable-jeans/30847647/buy
glitchez,679,1999,Men Wide Leg Jeans,Sizes: 30,https://www.myntra.comjeans/glitchez/glitchez-men-heavy-fade-wide-leg-jeans/31596498/buy
AD By Arvind,1499,2499,Men Mid Rise Jeans,Sizes: 36,https://www.myntra.comjeans/ad+by+arvind/ad-by-arvind-men-relaxed-tapered-fit-mid-rise-jeans/32466339/buy
Roadster,1399,4599,Pure Cotton Relaxed Fit Jeans,Sizes: 30,https://www.myntra.comjeans/roadster/the-roadster-lifestyle-co-pure-cotton-relaxed-fit-jeans/32688964/buy
Miss Chase,987,1899,Women Skinny Fit Jeans,Sizes: 34,https://www.myntra.comjeans/miss+chase/miss-chase-women-skinny-fit-high-rise-dark-shade-clean-look-stretchable-jeans/29171196/buy
Pepe Jeans,3999,N/A,Men Slim Fit Jeans,Sizes: 32,https://www.myntra.comjeans/pepe+jeans/pepe-jeans-men-vapour-slim-fit-light-fade-stretchable-jeans/33229461/buy
M&H Our Water,874,2499,Men Carrot Fit Jeans,Sizes: 28,https://www.myntra.comjeans/m%26h+our+water/mh-our-water-men-carrot-fit-light-fade-stretchable-sustainable-jeans/21425562/buy
Roadster,719,2399,Pure Cotton Relaxed-Fit Jeans,Sizes: 30,https://www.myntra.comjeans/roadster/the-roadster-lifestyle-co-blue-pure-cotton-comfort-relaxed-fit-jeans/27220916/buy
Levis,2111,3299,Men Slim Tapered Fit Jeans,Sizes: 38,https://www.myntra.comjeans/levis/levis-men-slim-tapered-fit-light-fade-stretchable-jeans/31579386/buy
Roadster,1155,3399,Women Slim Flared Jeans,Sizes: 32,https://www.myntra.comjeans/roadster/the-roadster-life-co-women-slim-flared-high-rise-pure-cotton-jeans/31027817/buy
PARIS HAMILTON,899,1999,Bootcut Jeans,Sizes: 28,https://www.myntra.comjeans/paris+hamilton/paris-hamilton-men-bootcut-heavy-fade-colourblocked-stretchable-jeans/26904736/buy
Levis,1471,3199,Men 512 Slim Fit Jeans,Sizes: 32,https://www.myntra.comjeans/levis/levis-men-512-slim-fit-light-fade-stretchable-jeans/25756736/buy
DENIMLOOK,749,2999,Men Jeans,Sizes: 28,https://www.myntra.comjeans/denimlook/denimlook-men-stretchable-jeans/31855497/buy
HIGHLANDER,649,1949,Men Slim Straight Fit Jeans,Sizes: 36,https://www.myntra.comjeans/highlander/highlander-men-slim-straight-fit-mid-rise-clean-look-stretchable-jeans/25395144/buy
Levis,1379,2999,Men 512 Slim Fit Jeans,Sizes: 40,https://www.myntra.comjeans/levis/levis-men-512-slim-fit-light-fade-stretchable-jeans/25756698/buy
Mast & Harbour,827,2299,Women Straight Fit Jeans,Sizes: 26,https://www.myntra.comjeans/mast+%26+harbour/mast--harbour-women-straight-fit-high-rise-light-fade-stretchable-jeans/31411431/buy
Pantaloons Junior,799,N/A,Boys Slim Fit Jeans,Sizes: 13-14Y,https://www.myntra.comjeans/pantaloons+junior/pantaloons-junior-boys-slim-fit-stretchable-jeans/32651738/buy
Stylecast X Kotty,524,2499,Women Straight Fit Jeans,Sizes: 30,https://www.myntra.comjeans/stylecast+x+kotty/stylecast-x-kotty-women-jean-straight-fit-high-rise-stretchable-jeans/31359183/buy
Roadster,839,2799,Women Cotton Wide Leg Jeans,Sizes: 26,https://www.myntra.comjeans/roadster/the-roadster-lifestyle-co-women-blue-pure-cotton-high-rise-wide-leg-stretchable-jeans/18202292/buy
glitchez,615,1399,Men Loose Fit Jeans,Sizes: 32,https://www.myntra.comjeans/glitchez/glitchez-men-cool-vibe-loose-fit-jeans/31239140/buy
Pepe Jeans,845,1799,Boys Slim Fit Jeans,Sizes: 8-9Y,https://www.myntra.comjeans/pepe+jeans/pepe-jeans-boys-slim-fit-light-fade-stretchable-jeans/28157094/buy
Metronaut,759,1999,Women Wide Leg Jeans,Sizes: 30,https://www.myntra.comjeans/metronaut/metronaut-women-comfort-wide-leg-stretchable-jeans/33077602/buy
Roadster,781,1699,Men Regular Fit Mid-Rise Jeans,Sizes: 30,https://www.myntra.comjeans/roadster/the-roadster-life-co-men-regular-fit-mid-rise-light-fade-stretchable-jeans/32026704/buy
Levis,1819,3499,Men Slim Fit Jeans,Sizes: 28,https://www.myntra.comjeans/levis/levis-men-slim-fit-light-fade-stretchable-jeans/31573946/buy
DressBerry,599,1999,Women Skinny Fit Jeans,Sizes: 26,https://www.myntra.comjeans/dressberry/dressberry-women-skinny-fit-jeans/31123029/buy
glitchez,791,2199,Men Loose Jeans,Sizes: 28,https://www.myntra.comjeans/glitchez/glitchez-men-light-shade-loose-jeans/31596633/buy
Levis,1563,3399,Men 512 Slim Fit Jeans,Sizes: 42,https://www.myntra.comjeans/levis/levis-men-512-slim-fit-light-fade-stretchable-jeans/25756708/buy
MARVEL STREET,804,3499,Men Straight Fit Jeans,Sizes: 34,https://www.myntra.comjeans/marvel+street/marvel-street-straight-fit-printed-pure-cotton-jeans/31370791/buy
Roadster,883,2599,Men Cotton Straight Fit Jeans,Sizes: 28,https://www.myntra.comjeans/roadster/the-roadster-life-co-men-straight-fit-pure-cotton-light-fade-jeans/31386753/buy
Levis,1379,2999,Men 511 Slim Fit Jeans,Sizes: 36,https://www.myntra.comjeans/levis/levis-men-511-slim-fit-heavy-fade-stretchable-jeans/25756808/buy
Roadster,719,1999,Women Straight High-Rise Jeans,Sizes: 28,https://www.myntra.comjeans/roadster/the-roadster-life-co-women-straight-fit-high-rise-jeans/26272756/buy
Allen Solly,1351,2599,Men Slim Fit Jeans,Sizes: 30,https://www.myntra.comjeans/allen+solly/allen-solly-men-slim-fit-stretchable-jeans/33078939/buy
Jack & Jones,3499,4999,Men Wide Leg High-Rise Jeans,Sizes: 30,https://www.myntra.comjeans/jack+%26+jones/jack--jones-men-wide-leg-high-rise-mildly-distressed-light-fade-stretchable-jeans/32680690/buy
Roadster,743,2399,Men Straight Fit Jeans,Sizes: 36,https://www.myntra.comjeans/roadster/the-roadster-life-co-men-straight-fit-jeans/31112726/buy
HIGHLANDER,819,2599,Mid-Rise Straight Fit Jeans,Sizes: 30,https://www.myntra.comjeans/highlander/highlander-men-mid-rise-straight-fit-light-fade-jeans/31325619/buy
Jack & Jones,8399,11999,Relaxed Fit Cotton Jeans,Sizes: 34/32,https://www.myntra.comjeans/jack+%26+jones/jack--jones-men-relaxed-fit-mid-rise-light-fade-cotton-jeans/32665169/buy
Noh.Voh - SASSAFRAS Kids,839,2099,Girls Bootcut High-Rise Jeans,Sizes: 12-13Y,https://www.myntra.comjeans/noh.voh+-+sassafras+kids/noh-voh---sassafras-kids-girls-blue-bootcut-high-rise-jeans/18390986/buy
Chemistry,956,2989,Skinny Fit High-Rise Jeans,Sizes: 30,https://www.myntra.comjeans/chemistry/chemistry-women-black-od-skinny-high-rise-clean-look-regular-stretchable-denim-jeans/31008929/buy
Pepe Jeans,2699,5999,Men Slim Fit Stretchable Jeans,Sizes: 30,https://www.myntra.comjeans/pepe+jeans/pepe-jeans-men-slim-fit-mildly-distressed-light-fade-whiskers-stretchable-jeans/27281702/buy
Aadvi Fashion,779,2999,Women High-Rise Jeans,Sizes: 34,https://www.myntra.comjeans/aadvi+fashion/aadvi-fashion-women-jean-high-rise-heavy-fade-stretchable-jeans/33301670/buy
glitchez,599,2399,Men Wide Leg Jeans,Sizes: 28,https://www.myntra.comjeans/glitchez/glitchez-men-effortlessly-cool-wide-leg-jeans/31596624/buy
Levis,2235,4299,Men 511 Slim Fit Jeans,Sizes: 40,https://www.myntra.comjeans/levis/levis-men-511-slim-fit-heavy-fade-stretchable-jeans/30189238/buy
Tokyo Talkies,562,2249,Women Skinny Fit Jeans,Sizes: 28,https://www.myntra.comjeans/tokyo+talkies/tokyo-talkies-women-skinny-fit-light-fade-stretchable-jeans/22427668/buy
Roadster,623,1299,Mid-Rise Stretchable Jeans,Sizes: 28,https://www.myntra.comjeans/roadster/the-roadster-life-co-slim-fit-mid-rise-stretchable-jeans/32026620/buy
Jack & Jones,4199,5999,Men Wide Leg Low-Rise Jeans,Sizes: 30,https://www.myntra.comjeans/jack+%26+jones/jack--jones-men-low-rise-straight-fit-light-fade-stretchable-jeans/32680028/buy
